restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
Shake Shack,American,13.97,Weekend,5,35,27
Shake Shack,American,12.23,Weekend,Not given,27,18
Melt Shop,American,16.98,Weekend,5,30,19
The Meatball Shop,American,9.27,Weekend,Not given,24,23
Shake Shack,American,31.43,Weekend,3,31,24
Shake Shack,American,29.05,Weekday,4,27,29
The Meatball Shop,American,14.5,Weekend,5,34,25
Shake Shack,American,5.82,Weekend,Not given,26,30
The Meatball Shop,Italian,16.2,Weekend,5,21,26
RedFarm Broadway,Chinese,8.68,Weekday,3,33,30
TAO,Japanese,15.67,Weekend,5,20,22
Shake Shack,American,5.82,Weekend,Not given,22,28
Han Dynasty,Chinese,29.15,Weekend,Not given,29,21
Chipotle Mexican Grill $1.99 Delivery,Mexican,22.31,Weekend,5,31,17
The Smile,American,12.18,Weekend,5,31,19
Blue Ribbon Sushi,Japanese,25.22,Weekday,Not given,31,24
Jack's Wife Freda,Mediterranean,12.18,Weekday,5,23,31
Blue Ribbon Sushi,Japanese,19.45,Weekend,Not given,28,24
